,word,corpus,iliad,odyssey
810,κλισίην,31,27,4
811,σόν,34,15,19
812,ἐΰ,34,23,11
813,εἰδῇς,9,4,5
814,ὅσσον,43,26,17
815,φέρτερός,8,7,1
816,εἰμι,27,18,9
817,στυγέῃ,1,1,0
818,ἄλλος,112,52,60
819,φάσθαι,11,5,6
820,ὁμοιωθήμεναι,2,1,1
821,ἄντην,20,11,9
822,φάτο,163,83,80
823,Πηλεΐωνι,8,7,1
824,ἄχος,45,32,13
825,ἦτορ,95,48,47
826,λασίοισι,1,1,0
827,διάνδιχα,4,4,0
828,μερμήριξεν,6,3,3
829,φάσγανον,14,8,6
830,ὀξύ,52,32,20
831,ἐρυσσάμενος,19,11,8
832,μηροῦ,16,7,9
833,τούς,189,123,66
834,ἀναστήσειεν,1,1,0
835,Ἀτρεΐδην,16,12,4
836,ἐναρίζοι,1,1,0
837,ἦε,28,13,15
838,παύσειεν,1,1,0
839,ἐρητύσειέ,1,1,0
840,ἧος,22,1,21
841,ταῦθ,10,7,3
842,ὥρμαινε,9,4,5
843,φρένα,46,28,18
844,ἕλκετο,5,4,1
845,κολεοῖο,2,2,0
846,ξίφος,42,23,19
847,Ἀθήνη,196,88,108
848,οὐρανόθεν,20,12,8
849,ἧκε,37,23,14
850,ἄμφω,61,43,18
851,ὁμῶς,28,16,12
852,φιλέουσά,4,4,0
853,κηδομένη,6,5,1
854,στῆ,78,53,25
855,ὄπιθεν,18,13,5
856,ξανθῆς,1,1,0
857,κόμης,1,1,0
858,ἕλε,41,30,11
859,Πηλεΐωνα,25,23,2
860,οἴῳ,11,3,8
861,φαινομένη,2,2,0
862,ἄλλων,94,51,43
863,θάμβησεν,3,2,1
864,Ἀχιλεύς,35,35,0
865,ἐτράπετ,9,7,2
866,αὐτίκα,108,60,48
867,ἔγνω,27,15,12
868,Παλλάδ,4,2,2
869,Ἀθηναίην,14,11,3
870,δεινώ,1,1,0
871,φάανθεν,1,1,0
872,φωνήσας,83,42,41
873,ἔπεα,128,65,63
874,πτερόεντα,118,59,59
875,προσηύδα,163,89,74
876,τίπτ,9,5,4
877,αὖτ,132,73,59
878,αἰγιόχοιο,50,35,15
879,τέκος,38,29,9
880,εἰλήλουθας,10,4,6
881,ἵνα,130,60,70
882,ὕβριν,12,1,11
883,ἴδῃ,9,7,2
884,Ἀγαμέμνονος,22,15,7
885,Ἀτρεΐδαο,26,17,9
886,ἔκ,77,34,43
887,τελέεσθαι,9,2,7
888,ᾗς,4,4,0
889,ὑπεροπλίῃσι,1,1,0
890,τάχ,26,15,11
891,ὀλέσσῃ,3,2,1
892,αὖτε,192,98,94
893,γλαυκῶπις,80,29,51
894,ἦλθον,44,16,28
895,παύσουσα,1,1,0
896,μένος,159,117,42
897,πίθηαι,4,3,1
898,λῆγ,3,3,0
899,ἔριδος,17,15,2
900,μηδέ,57,26,31
901,ἕλκεο,1,1,0
902,χειρί,85,55,30
